id,cuisine
18009,indian
28583,southern_us
41580,spanish
29752,southern_us
35687,southern_us
38527,southern_us
19666,italian
41217,indian
28753,mexican
22659,british
21749,southern_us
44967,greek
42969,indian
44883,italian
20827,chinese
23196,southern_us
35387,southern_us
33780,southern_us
19001,southern_us
16526,indian
42455,chinese
47453,indian
42478,indian
11885,vietnamese
16585,italian
29639,southern_us
26245,indian
38516,indian
47520,southern_us
26212,italian
23696,southern_us
14926,chinese
13292,indian
27346,chinese
1384,chinese
15959,indian
42297,italian
46235,indian
21181,southern_us
9809,southern_us
22982,cajun_creole
23120,southern_us
26743,southern_us
12741,southern_us
7050,italian
22437,indian
14760,spanish
10649,thai
48065,indian
39931,indian
32935,italian
40142,thai
19103,indian
38267,indian
30512,italian
3324,chinese
26197,indian
384,japanese
47230,chinese
39748,indian
41038,southern_us
24878,southern_us
42624,indian
45706,southern_us
8874,southern_us
23878,indian
47234,filipino
24075,indian
46323,southern_us
22562,indian
11358,italian
9201,indian
38620,italian
47638,mexican
21238,indian
11053,chinese
46602,indian
13937,southern_us
21876,southern_us
20798,indian
24381,filipino
48178,indian
45832,italian
27560,chinese
23247,italian
28975,indian
43230,greek
9126,greek
13021,indian
28194,chinese
25617,indian
36125,italian
16454,mexican
1607,indian
38526,indian
18755,southern_us
12035,spanish
16047,greek
15419,italian
16971,indian
31459,indian
27888,indian
13900,indian
12376,indian
1658,chinese
29431,indian
22290,greek
28464,french
37953,southern_us
20814,filipino
35987,southern_us
2329,italian
43237,southern_us
30647,southern_us
16675,italian
37722,mexican
32438,indian
20287,indian
43296,indian
6237,greek
48560,filipino
20810,southern_us
34951,italian
31850,filipino
47745,southern_us
37815,chinese
9872,italian
5592,indian
27411,chinese
39320,southern_us
40247,indian
19792,italian
40754,indian
14365,jamaican
14468,southern_us
47563,southern_us
19611,italian
7163,mexican
43069,mexican
27505,filipino
36500,thai
25932,southern_us
817,italian
8471,italian
48250,indian
9413,southern_us
12097,southern_us
8416,southern_us
5892,greek
676,southern_us
47015,indian
21891,greek
14630,greek
36195,japanese
25981,southern_us
39964,indian
28298,indian
31954,italian
26620,southern_us
14932,southern_us
47426,mexican
1038,greek
8077,indian
37141,indian
45447,british
9624,southern_us
45589,indian
7265,indian
31844,southern_us
13046,greek
9867,southern_us
29184,greek
34783,spanish
2823,chinese
18932,mexican
11112,southern_us
12859,indian
9365,indian
44516,southern_us
18193,indian
46545,greek
9900,cajun_creole
14815,indian
39690,southern_us
22193,southern_us
11739,southern_us
27311,greek
36920,indian
7861,indian
29248,indian
43142,mexican
7574,southern_us
8610,southern_us
989,italian
46926,mexican
40816,indian
39726,vietnamese
42229,southern_us
10474,greek
22140,southern_us
31985,indian
46165,chinese
20860,greek
42494,italian
15968,southern_us
20484,filipino
26661,southern_us
47182,indian
22528,southern_us
3861,indian
1203,indian
45040,indian
33287,indian
10097,southern_us
42005,southern_us
12423,italian
39613,indian
30276,indian
18686,spanish
3031,southern_us
40093,italian
182,indian
46591,indian
4092,chinese
13722,indian
44575,greek
14989,italian
13270,indian
25529,italian
12140,indian
23127,mexican
13523,southern_us
41270,italian
8362,thai
11735,southern_us
27935,italian
28198,mexican
37765,indian
33856,greek
30198,greek
42521,spanish
21567,southern_us
36995,southern_us
24967,indian
45002,indian
48925,indian
36914,indian
2280,indian
14729,southern_us
4594,indian
2237,indian
45631,moroccan
2317,jamaican
23079,indian
29333,japanese
48066,indian
15737,greek
30580,southern_us
1119,filipino
46336,moroccan
5026,italian
10749,southern_us
31020,mexican
30805,indian
27653,italian
35060,southern_us
39174,indian
49509,southern_us
31784,spanish
31408,spanish
36029,indian
11045,southern_us
6561,southern_us
26992,filipino
31179,southern_us
35099,southern_us
11018,italian
17930,mexican
21302,greek
46352,southern_us
25132,italian
7010,southern_us
25850,southern_us
19601,southern_us
7935,italian
34994,filipino
25113,italian
45523,southern_us
34977,southern_us
7124,southern_us
27514,indian
27178,southern_us
47880,korean
29197,southern_us
16347,southern_us
20333,southern_us
29112,chinese
7510,greek
13897,southern_us
35699,indian
20520,southern_us
38920,mexican
21775,indian
37475,chinese
40131,italian
1939,mexican
48268,mexican
34815,indian
13797,southern_us
39063,chinese
29064,chinese
26896,greek
29477,italian
3352,irish
4966,mexican
7316,indian
23879,mexican
16525,indian
32843,french
39574,indian
32737,indian
44788,southern_us
28772,indian
34189,southern_us
33719,southern_us
25846,indian
1423,indian
4328,chinese
579,italian
5219,indian
2314,indian
31143,moroccan
13409,mexican
3281,greek
15804,indian
40835,southern_us
39262,chinese
37013,indian
14807,indian
47956,indian
2580,italian
13720,southern_us
23008,italian
5951,southern_us
39312,italian
6176,indian
17617,indian
57,mexican
43422,indian
49403,southern_us
44751,southern_us
21865,greek
26584,mexican
39355,chinese
14038,southern_us
45396,mexican
49715,italian
41515,thai
30445,spanish
4090,southern_us
17207,thai
40376,indian
19398,southern_us
22347,chinese
49671,italian
40854,italian
926,chinese
47919,filipino
20571,italian
18866,southern_us
48742,mexican
14577,spanish
29481,southern_us
40996,italian
34470,indian
31147,italian
35932,southern_us
27221,southern_us
48301,indian
29925,italian
48640,chinese
22873,southern_us
10565,southern_us
15509,greek
37569,southern_us
13306,indian
40474,indian
15182,indian
8609,filipino
32168,korean
1125,mexican
25244,greek
46889,chinese
13841,thai
47135,indian
29036,indian
43533,japanese
41631,indian
22124,southern_us
18836,cajun_creole
35695,southern_us
5141,indian
41894,french
4972,italian
34195,chinese
14183,italian
15188,italian
8734,italian
30946,southern_us
5588,southern_us
49554,southern_us
1270,indian
1259,vietnamese
45986,indian
22351,southern_us
300,mexican
9278,southern_us
10021,indian
17014,italian
40855,southern_us
18362,indian
16292,filipino
29924,indian
47174,southern_us
4856,italian
15417,southern_us
19875,indian
42228,indian
36264,southern_us
14571,greek
23496,chinese
43879,mexican
23431,indian
5499,southern_us
247,southern_us
48795,indian
47113,indian
489,indian
13036,chinese
4838,italian
40630,indian
17576,italian
29972,indian
8123,indian
35918,mexican
42669,southern_us
24632,chinese
35740,mexican
45670,indian
28041,southern_us
46688,mexican
10309,chinese
