"id","cuisine"
18009,"japanese"
28583,"southern_us"
41580,"spanish"
29752,"southern_us"
35687,"southern_us"
38527,"southern_us"
19666,"italian"
41217,"southern_us"
28753,"mexican"
22659,"british"
21749,"southern_us"
44967,"greek"
42969,"greek"
44883,"italian"
20827,"chinese"
23196,"southern_us"
35387,"southern_us"
33780,"southern_us"
19001,"southern_us"
16526,"japanese"
42455,"chinese"
47453,"japanese"
42478,"greek"
11885,"vietnamese"
16585,"italian"
29639,"southern_us"
26245,"indian"
38516,"indian"
47520,"southern_us"
26212,"italian"
23696,"southern_us"
14926,"chinese"
13292,"southern_us"
27346,"chinese"
1384,"chinese"
15959,"japanese"
42297,"italian"
46235,"indian"
21181,"southern_us"
9809,"southern_us"
22982,"cajun_creole"
23120,"southern_us"
26743,"southern_us"
12741,"southern_us"
7050,"italian"
22437,"indian"
14760,"spanish"
10649,"chinese"
48065,"indian"
39931,"southern_us"
32935,"italian"
40142,"thai"
19103,"indian"
38267,"filipino"
30512,"italian"
3324,"chinese"
26197,"japanese"
384,"japanese"
47230,"chinese"
39748,"southern_us"
41038,"southern_us"
24878,"southern_us"
42624,"greek"
45706,"southern_us"
8874,"southern_us"
23878,"greek"
47234,"filipino"
24075,"indian"
46323,"southern_us"
22562,"japanese"
11358,"italian"
9201,"indian"
38620,"italian"
47638,"mexican"
21238,"indian"
11053,"chinese"
46602,"indian"
13937,"southern_us"
21876,"southern_us"
20798,"greek"
24381,"filipino"
48178,"indian"
45832,"italian"
27560,"chinese"
23247,"italian"
28975,"greek"
43230,"greek"
9126,"greek"
13021,"greek"
28194,"filipino"
25617,"southern_us"
36125,"italian"
16454,"mexican"
1607,"southern_us"
38526,"southern_us"
18755,"southern_us"
12035,"spanish"
16047,"greek"
15419,"italian"
16971,"indian"
31459,"japanese"
27888,"japanese"
13900,"southern_us"
12376,"southern_us"
1658,"chinese"
29431,"greek"
22290,"greek"
28464,"french"
37953,"southern_us"
20814,"filipino"
35987,"southern_us"
2329,"italian"
43237,"southern_us"
30647,"southern_us"
16675,"italian"
37722,"mexican"
32438,"southern_us"
20287,"indian"
43296,"greek"
6237,"greek"
